university_name,country,city,language,budget,major,gpa,sat,ielts,avg_temp,qs_rank,scholarships,description,strengths,weaknesses,can_admit
Архипов University of п. Шереметьево,Australia,п. Шереметьево,Английский,49210,Engineering,2.29,1100,5.4,4.5,824,152,Архипов University of п. Шереметьево — один из ведущих университетов в Australia. Университет известен своими достижениями в области engineering.,Сильный студенческий обмен,Маленькое общежитие,0
Рогов University of с. Палана,United Kingdom,с. Палана,Английский,48492,Engineering,4.93,1510,4.1,23.3,51,208,Рогов University of с. Палана — один из ведущих университетов в United Kingdom. Университет известен своими достижениями в области engineering.,Сильные инженерные программы,Маленькое общежитие,0
Соболева University of г. Мезень,France,г. Мезень,Французский,26284,Psychology,4.67,1496,7.9,9.3,910,322,Соболева University of г. Мезень — один из ведущих университетов в France. Университет известен своими достижениями в области psychology.,Развитая инфраструктура,Сложности с визами,1
Петухова University of с. Ноябрьск,United Kingdom,с. Ноябрьск,Английский,7888,Chemistry,2.7,1455,6.5,9.4,1078,72,Петухова University of с. Ноябрьск — один из ведущих университетов в United Kingdom. Университет известен своими достижениями в области chemistry.,Сильный студенческий обмен,Маленькое общежитие,0
Пестова University of г. Верхнее Пенжино,China,г. Верхнее Пенжино,Китайский,40554,Physics,2.71,1360,4.3,13.6,811,116,Пестова University of г. Верхнее Пенжино — один из ведущих университетов в China. Университет известен своими достижениями в области physics.,Сильная программа по ИИ,Дорогая аренда жилья,0
Рожков University of клх Сусуман,France,клх Сусуман,Французский,57495,Art,3.22,1459,6.1,24.0,1215,151,Рожков University of клх Сусуман — один из ведущих университетов в France. Университет известен своими достижениями в области art.,Развитая инфраструктура,Нехватка стажировок,0
Чернов University of г. Киренск,Russia,г. Киренск,Русский,41340,Biology,4.72,1531,8.3,25.1,955,467,Чернов University of г. Киренск — один из ведущих университетов в Russia. Университет известен своими достижениями в области biology.,Развитая инфраструктура,Дорогая аренда жилья,1
Лобанов University of ст. Кущевская,Canada,ст. Кущевская,Английский,7289,Computer Science,4.01,1049,7.4,14.6,307,199,Лобанов University of ст. Кущевская — один из ведущих университетов в Canada. Университет известен своими достижениями в области computer science.,Сильный студенческий обмен,Дорогая аренда жилья,0
Данилов University of д. Кострома,Singapore,д. Кострома,Английский,48489,Political Science,2.22,1027,6.9,4.8,492,150,Данилов University of д. Кострома — один из ведущих университетов в Singapore. Университет известен своими достижениями в области political science.,Сильная программа по ИИ,Сложности с визами,0
Новиков University of г. Завьялиха,Singapore,г. Завьялиха,Английский,55509,Biology,3.75,1367,4.3,4.8,792,357,Новиков University of г. Завьялиха — один из ведущих университетов в Singapore. Университет известен своими достижениями в области biology.,Сильная программа по ИИ,Нехватка стажировок,0
Терентьев University of г. Мценск,Germany,г. Мценск,Немецкий,57741,Engineering,3.64,978,4.4,11.2,41,264,Терентьев University of г. Мценск — один из ведущих университетов в Germany. Университет известен своими достижениями в области engineering.,Сильные инженерные программы,Сложности с визами,0
Суворов University of д. Братск,South Korea,д. Братск,Корейский,32345,Architecture,2.48,1418,5.1,25.4,339,138,Суворов University of д. Братск — один из ведущих университетов в South Korea. Университет известен своими достижениями в области architecture.,Сильные инженерные программы,Маленькое общежитие,0
Сафонов University of к. Кызыл,France,к. Кызыл,Французский,51949,Architecture,3.1,1393,5.2,22.9,611,82,Сафонов University of к. Кызыл — один из ведущих университетов в France. Университет известен своими достижениями в области architecture.,Развитая инфраструктура,Сложности с визами,0
Горшкова University of п. Шатура,Singapore,п. Шатура,Английский,29737,Economics,2.88,1017,5.3,-3.2,1241,406,Горшкова University of п. Шатура — один из ведущих университетов в Singapore. Университет известен своими достижениями в области economics.,Отличное финансирование исследований,Дорогая аренда жилья,0
Зуев University of ст. Баргузин,Russia,ст. Баргузин,Русский,53653,Business,2.8,1515,8.6,9.1,923,413,Зуев University of ст. Баргузин — один из ведущих университетов в Russia. Университет известен своими достижениями в области business.,Развитая инфраструктура,Маленькое общежитие,0
Назаров University of п. Тында,Japan,п. Тында,Японский,45688,Computer Science,2.11,1387,4.9,-1.1,424,104,Назаров University of п. Тында — один из ведущих университетов в Japan. Университет известен своими достижениями в области computer science.,Развитая инфраструктура,Дорогая аренда жилья,0
Хохлова University of клх Юрюзань,Russia,клх Юрюзань,Русский,51777,Engineering,3.57,1475,5.7,22.2,60,431,Хохлова University of клх Юрюзань — один из ведущих университетов в Russia. Университет известен своими достижениями в области engineering.,Сильные инженерные программы,Нехватка стажировок,0
Медведев University of к. Сосьва (Хант.),Russia,к. Сосьва (Хант.),Русский,51347,Business,3.53,1105,8.1,1.6,508,206,Медведев University of к. Сосьва (Хант.) — один из ведущих университетов в Russia. Университет известен своими достижениями в области business.,Развитая инфраструктура,Дорогая аренда жилья,0
Артемьев University of клх Боровск,Germany,клх Боровск,Немецкий,40277,Medicine,2.18,1474,5.9,9.5,396,194,Артемьев University of клх Боровск — один из ведущих университетов в Germany. Университет известен своими достижениями в области medicine.,Сильный студенческий обмен,Высокая стоимость жизни,0
Лебедев University of г. Королев,United Kingdom,г. Королев,Английский,31037,Biology,4.1,1456,4.7,-0.1,630,231,Лебедев University of г. Королев — один из ведущих университетов в United Kingdom. Университет известен своими достижениями в области biology.,Сильные инженерные программы,Дорогая аренда жилья,0
Лапина University of с. Кабанск,Australia,с. Кабанск,Английский,36134,Economics,2.88,1282,5.7,20.8,265,144,Лапина University of с. Кабанск — один из ведущих университетов в Australia. Университет известен своими достижениями в области economics.,Сильные инженерные программы,Дорогая аренда жилья,0
Веселова University of п. Алагир,Russia,п. Алагир,Русский,38799,Physics,3.86,1090,4.8,-3.7,1375,82,Веселова University of п. Алагир — один из ведущих университетов в Russia. Университет известен своими достижениями в области physics.,Сильная программа по ИИ,Нехватка стажировок,0
Афанасьева University of д. Тулун,Singapore,д. Тулун,Английский,32401,Architecture,4.5,1244,7.6,-2.6,1052,487,Афанасьева University of д. Тулун — один из ведущих университетов в Singapore. Университет известен своими достижениями в области architecture.,Сильные инженерные программы,Дорогая аренда жилья,1
Васильева University of с. Архангельск,Canada,с. Архангельск,Английский,26781,Chemistry,2.43,1493,7.8,21.0,1033,430,Васильева University of с. Архангельск — один из ведущих университетов в Canada. Университет известен своими достижениями в области chemistry.,Сильная программа по ИИ,Нехватка стажировок,0
Галкина University of ст. Нижневартовск,Netherlands,ст. Нижневартовск,Английский,56265,Mathematics,3.43,1559,8.1,11.8,1400,356,Галкина University of ст. Нижневартовск — один из ведущих университетов в Netherlands. Университет известен своими достижениями в области mathematics.,Сильная программа по ИИ,Высокая стоимость жизни,0
Кондратьев University of д. Южно-Курильск,Germany,д. Южно-Курильск,Немецкий,33432,Medicine,2.41,1596,7.8,26.3,1134,227,Кондратьев University of д. Южно-Курильск — один из ведущих университетов в Germany. Университет известен своими достижениями в области medicine.,Сильный студенческий обмен,Высокая стоимость жизни,0
Казакова University of клх Видное,Singapore,клх Видное,Английский,38260,Psychology,3.81,1289,7.2,2.2,1270,239,Казакова University of клх Видное — один из ведущих университетов в Singapore. Университет известен своими достижениями в области psychology.,Сильная программа по ИИ,Нехватка стажировок,1
Шилов University of с. Гаврилов-Ям,South Korea,с. Гаврилов-Ям,Корейский,41573,Environmental Science,3.95,1064,5.6,5.3,1088,10,Шилов University of с. Гаврилов-Ям — один из ведущих университетов в South Korea. Университет известен своими достижениями в области environmental science.,Сильная программа по ИИ,Нехватка стажировок,0
Пономарев University of к. Югорск,Russia,к. Югорск,Русский,53165,Medicine,2.16,1159,6.6,1.9,504,49,Пономарев University of к. Югорск — один из ведущих университетов в Russia. Университет известен своими достижениями в области medicine.,Сильные инженерные программы,Дорогая аренда жилья,0
Евсеева University of ст. Сосногорск,Australia,ст. Сосногорск,Английский,37011,Chemistry,2.92,1318,6.3,-2.6,1222,269,Евсеева University of ст. Сосногорск — один из ведущих университетов в Australia. Университет известен своими достижениями в области chemistry.,Развитая инфраструктура,Маленькое общежитие,0
Юдина University of п. Агата,Singapore,п. Агата,Английский,29789,Environmental Science,3.97,1240,4.7,2.0,918,125,Юдина University of п. Агата — один из ведущих университетов в Singapore. Университет известен своими достижениями в области environmental science.,Сильный студенческий обмен,Высокая стоимость жизни,0
Вишняков University of с. Гремячинск (Бурят.),Japan,с. Гремячинск (Бурят.),Японский,21649,Environmental Science,2.18,1497,4.9,-1.0,1459,34,Вишняков University of с. Гремячинск (Бурят.) — один из ведущих университетов в Japan. Университет известен своими достижениями в области environmental science.,Развитая инфраструктура,Сложности с визами,0
Селезнев University of с. Орехово-Зуево,Netherlands,с. Орехово-Зуево,Английский,8533,Computer Science,2.66,851,5.7,-0.1,238,416,Селезнев University of с. Орехово-Зуево — один из ведущих университетов в Netherlands. Университет известен своими достижениями в области computer science.,Сильный студенческий обмен,Дорогая аренда жилья,0
Рыбакова University of клх Нягань,Germany,клх Нягань,Немецкий,19428,Physics,2.34,1261,7.0,29.2,569,76,Рыбакова University of клх Нягань — один из ведущих университетов в Germany. Университет известен своими достижениями в области physics.,Отличное финансирование исследований,Нехватка стажировок,0
Сорокин University of с. Льгов,France,с. Льгов,Французский,50598,Business,2.88,1181,6.9,7.0,1096,273,Сорокин University of с. Льгов — один из ведущих университетов в France. Университет известен своими достижениями в области business.,Отличное финансирование исследований,Сложности с визами,0
Бобров University of п. Коломна,Australia,п. Коломна,Английский,17792,Architecture,2.38,839,6.7,4.5,1142,173,Бобров University of п. Коломна — один из ведущих университетов в Australia. Университет известен своими достижениями в области architecture.,Отличное финансирование исследований,Маленькое общежитие,0
Марков University of с. Бирск,Canada,с. Бирск,Английский,36538,Engineering,4.02,1334,4.1,18.1,648,175,Марков University of с. Бирск — один из ведущих университетов в Canada. Университет известен своими достижениями в области engineering.,Отличное финансирование исследований,Нехватка стажировок,0
Котов University of п. Северобайкальск,Canada,п. Северобайкальск,Английский,23873,Medicine,3.49,1331,8.9,9.7,1462,193,Котов University of п. Северобайкальск — один из ведущих университетов в Canada. Университет известен своими достижениями в области medicine.,Отличное финансирование исследований,Маленькое общежитие,0
Сидоров University of д. Нефтегорск (Самар.),Australia,д. Нефтегорск (Самар.),Английский,42365,Medicine,3.14,1220,4.5,14.6,1135,34,Сидоров University of д. Нефтегорск (Самар.) — один из ведущих университетов в Australia. Университет известен своими достижениями в области medicine.,Отличное финансирование исследований,Дорогая аренда жилья,0
Кудрявцева University of ст. Горячий Ключ,United Kingdom,ст. Горячий Ключ,Английский,41397,Psychology,3.13,879,7.4,19.1,371,373,Кудрявцева University of ст. Горячий Ключ — один из ведущих университетов в United Kingdom. Университет известен своими достижениями в области psychology.,Сильный студенческий обмен,Нехватка стажировок,0
Орехова University of к. Меренга,Singapore,к. Меренга,Английский,45543,Art,4.13,1270,4.2,15.8,1416,371,Орехова University of к. Меренга — один из ведущих университетов в Singapore. Университет известен своими достижениями в области art.,Развитая инфраструктура,Высокая стоимость жизни,0
Веселов University of д. Тавда,France,д. Тавда,Французский,51731,Chemistry,3.37,1543,5.6,26.8,775,147,Веселов University of д. Тавда — один из ведущих университетов в France. Университет известен своими достижениями в области chemistry.,Отличное финансирование исследований,Маленькое общежитие,0
Гусев University of клх Кирово-Чепецк,France,клх Кирово-Чепецк,Французский,28368,Psychology,4.73,861,5.9,13.8,191,230,Гусев University of клх Кирово-Чепецк — один из ведущих университетов в France. Университет известен своими достижениями в области psychology.,Сильная программа по ИИ,Маленькое общежитие,0
Марков University of к. Воткинск,South Korea,к. Воткинск,Корейский,5303,Physics,3.56,857,8.4,2.6,102,30,Марков University of к. Воткинск — один из ведущих университетов в South Korea. Университет известен своими достижениями в области physics.,Сильный студенческий обмен,Маленькое общежитие,0
Красильникова University of г. Назрань,Netherlands,г. Назрань,Английский,46601,Economics,4.88,1043,7.1,4.5,1181,227,Красильникова University of г. Назрань — один из ведущих университетов в Netherlands. Университет известен своими достижениями в области economics.,Отличное финансирование исследований,Высокая стоимость жизни,0
Молчанов University of г. Малоярославец,United Kingdom,г. Малоярославец,Английский,30346,Engineering,2.27,1012,4.7,21.0,1268,191,Молчанов University of г. Малоярославец — один из ведущих университетов в United Kingdom. Университет известен своими достижениями в области engineering.,Сильная программа по ИИ,Маленькое общежитие,0
Меркушева University of г. Энгельс,Netherlands,г. Энгельс,Английский,33719,Business,4.09,1531,4.0,1.5,1036,460,Меркушева University of г. Энгельс — один из ведущих университетов в Netherlands. Университет известен своими достижениями в области business.,Сильная программа по ИИ,Сложности с визами,0
Кириллова University of к. Октябрьское (Хант.),South Korea,к. Октябрьское (Хант.),Корейский,48884,Chemistry,3.17,1062,4.1,-2.6,1211,13,Кириллова University of к. Октябрьское (Хант.) — один из ведущих университетов в South Korea. Университет известен своими достижениями в области chemistry.,Отличное финансирование исследований,Нехватка стажировок,0
Виноградов University of ст. Кировск (Ленин.),China,ст. Кировск (Ленин.),Китайский,27406,Art,2.66,1336,7.7,26.2,495,278,Виноградов University of ст. Кировск (Ленин.) — один из ведущих университетов в China. Университет известен своими достижениями в области art.,Сильная программа по ИИ,Высокая стоимость жизни,0
Лихачев University of с. Гремячинск (Бурят.),United Kingdom,с. Гремячинск (Бурят.),Английский,15623,Mathematics,3.37,1239,7.4,26.8,845,325,Лихачев University of с. Гремячинск (Бурят.) — один из ведущих университетов в United Kingdom. Университет известен своими достижениями в области mathematics.,Сильная программа по ИИ,Дорогая аренда жилья,0
Гуляева University of с. Александровск-Сахалинский,Germany,с. Александровск-Сахалинский,Немецкий,18013,Environmental Science,4.74,1257,5.8,-0.4,22,474,Гуляева University of с. Александровск-Сахалинский — один из ведущих университетов в Germany. Университет известен своими достижениями в области environmental science.,Сильные инженерные программы,Маленькое общежитие,0
Авдеева University of д. Псебай,China,д. Псебай,Китайский,13335,Computer Science,2.59,1412,6.4,17.2,830,2,Авдеева University of д. Псебай — один из ведущих университетов в China. Университет известен своими достижениями в области computer science.,Развитая инфраструктура,Маленькое общежитие,0
Иванов University of ст. Усть-Кулом,Japan,ст. Усть-Кулом,Японский,43807,Business,3.27,836,6.5,24.2,554,227,Иванов University of ст. Усть-Кулом — один из ведущих университетов в Japan. Университет известен своими достижениями в области business.,Сильный студенческий обмен,Сложности с визами,0
Киселев University of клх Батайск,China,клх Батайск,Китайский,14872,Computer Science,3.43,1550,7.0,19.9,516,246,Киселев University of клх Батайск — один из ведущих университетов в China. Университет известен своими достижениями в области computer science.,Развитая инфраструктура,Сложности с визами,0
Шубина University of к. Нижний Новгород,USA,к. Нижний Новгород,Английский,45986,Engineering,4.86,881,5.0,23.0,1183,500,Шубина University of к. Нижний Новгород — один из ведущих университетов в USA. Университет известен своими достижениями в области engineering.,Сильные инженерные программы,Маленькое общежитие,0
Гуляев University of д. Карабудахкент,France,д. Карабудахкент,Французский,14058,Biology,2.39,1484,6.3,14.9,796,457,Гуляев University of д. Карабудахкент — один из ведущих университетов в France. Университет известен своими достижениями в области biology.,Сильный студенческий обмен,Маленькое общежитие,0
Маслов University of с. Ершов,Russia,с. Ершов,Русский,37543,Architecture,3.45,1126,5.9,25.7,1266,465,Маслов University of с. Ершов — один из ведущих университетов в Russia. Университет известен своими достижениями в области architecture.,Сильная программа по ИИ,Сложности с визами,0
Потапов University of клх Сосьва (Хант.),Russia,клх Сосьва (Хант.),Русский,54025,Computer Science,2.71,1077,6.6,24.7,552,411,Потапов University of клх Сосьва (Хант.) — один из ведущих университетов в Russia. Университет известен своими достижениями в области computer science.,Сильный студенческий обмен,Нехватка стажировок,0
Потапова University of д. Терскол,China,д. Терскол,Китайский,59335,Political Science,4.14,1051,4.5,10.9,32,114,Потапова University of д. Терскол — один из ведущих университетов в China. Университет известен своими достижениями в области political science.,Сильная программа по ИИ,Дорогая аренда жилья,0
Лазарев University of п. Черусти,United Kingdom,п. Черусти,Английский,38709,Architecture,2.5,1269,8.0,19.3,378,152,Лазарев University of п. Черусти — один из ведущих университетов в United Kingdom. Университет известен своими достижениями в области architecture.,Развитая инфраструктура,Высокая стоимость жизни,0
Гущин University of клх Вендинга,Netherlands,клх Вендинга,Английский,7249,Psychology,4.86,1315,6.2,28.4,416,112,Гущин University of клх Вендинга — один из ведущих университетов в Netherlands. Университет известен своими достижениями в области psychology.,Сильный студенческий обмен,Нехватка стажировок,1
Колесников University of г. Ревда (Сверд.),China,г. Ревда (Сверд.),Китайский,6147,Economics,2.73,1520,4.2,-2.5,844,112,Колесников University of г. Ревда (Сверд.) — один из ведущих университетов в China. Университет известен своими достижениями в области economics.,Развитая инфраструктура,Дорогая аренда жилья,0
Шарова University of п. Слюдянка,Russia,п. Слюдянка,Русский,14963,Chemistry,2.31,979,4.2,6.1,436,270,Шарова University of п. Слюдянка — один из ведущих университетов в Russia. Университет известен своими достижениями в области chemistry.,Отличное финансирование исследований,Сложности с визами,0
Гаврилов University of клх Таштагол,South Korea,клх Таштагол,Корейский,55028,Medicine,4.5,1077,8.2,6.4,303,321,Гаврилов University of клх Таштагол — один из ведущих университетов в South Korea. Университет известен своими достижениями в области medicine.,Сильная программа по ИИ,Маленькое общежитие,0
Вишняков University of клх Сусуман,USA,клх Сусуман,Английский,13976,Mathematics,2.54,986,4.6,29.3,283,257,Вишняков University of клх Сусуман — один из ведущих университетов в USA. Университет известен своими достижениями в области mathematics.,Сильная программа по ИИ,Нехватка стажировок,0
Назаров University of с. Беломорск,Russia,с. Беломорск,Русский,30862,Mathematics,4.38,1417,7.2,8.3,442,164,Назаров University of с. Беломорск — один из ведущих университетов в Russia. Университет известен своими достижениями в области mathematics.,Сильные инженерные программы,Нехватка стажировок,1
Гущин University of с. Оленегорск (Якут.),United Kingdom,с. Оленегорск (Якут.),Английский,26743,Business,3.64,892,8.7,20.5,464,401,Гущин University of с. Оленегорск (Якут.) — один из ведущих университетов в United Kingdom. Университет известен своими достижениями в области business.,Сильный студенческий обмен,Нехватка стажировок,0
Исакова University of ст. Тайшет,Canada,ст. Тайшет,Английский,45036,Economics,3.53,899,8.7,22.9,1404,360,Исакова University of ст. Тайшет — один из ведущих университетов в Canada. Университет известен своими достижениями в области economics.,Сильный студенческий обмен,Нехватка стажировок,0
Мамонтов University of клх Шелехов,France,клх Шелехов,Французский,15273,Political Science,2.59,1078,5.7,12.6,1235,383,Мамонтов University of клх Шелехов — один из ведущих университетов в France. Университет известен своими достижениями в области political science.,Отличное финансирование исследований,Дорогая аренда жилья,0
Калашникова University of г. Шелехов,Singapore,г. Шелехов,Английский,15530,Mathematics,2.67,1404,6.4,25.6,1443,416,Калашникова University of г. Шелехов — один из ведущих университетов в Singapore. Университет известен своими достижениями в области mathematics.,Развитая инфраструктура,Высокая стоимость жизни,0
Киселева University of п. Кежма,Russia,п. Кежма,Русский,56594,Biology,2.73,969,7.1,-0.3,635,200,Киселева University of п. Кежма — один из ведущих университетов в Russia. Университет известен своими достижениями в области biology.,Сильная программа по ИИ,Высокая стоимость жизни,0
Рожкова University of д. Усинск,South Korea,д. Усинск,Корейский,28632,Political Science,3.26,1372,4.2,11.4,1240,252,Рожкова University of д. Усинск — один из ведущих университетов в South Korea. Университет известен своими достижениями в области political science.,Сильные инженерные программы,Нехватка стажировок,0
Дроздов University of г. Набережные Челны,France,г. Набережные Челны,Французский,19564,Economics,3.9,813,8.2,21.3,758,126,Дроздов University of г. Набережные Челны — один из ведущих университетов в France. Университет известен своими достижениями в области economics.,Развитая инфраструктура,Маленькое общежитие,0
Кузьмина University of п. Братск,Australia,п. Братск,Английский,23371,Biology,4.25,1574,7.3,27.8,1202,306,Кузьмина University of п. Братск — один из ведущих университетов в Australia. Университет известен своими достижениями в области biology.,Развитая инфраструктура,Маленькое общежитие,1
Козлова University of д. Тикси,Russia,д. Тикси,Русский,26263,Chemistry,3.33,1105,5.2,18.1,879,6,Козлова University of д. Тикси — один из ведущих университетов в Russia. Университет известен своими достижениями в области chemistry.,Сильные инженерные программы,Нехватка стажировок,0
Власова University of с. Юровск,France,с. Юровск,Французский,55831,Engineering,3.89,1079,5.2,19.4,1470,497,Власова University of с. Юровск — один из ведущих университетов в France. Университет известен своими достижениями в области engineering.,Сильный студенческий обмен,Сложности с визами,0
Сорокина University of п. Калач-на-Дону,Singapore,п. Калач-на-Дону,Английский,39489,Medicine,3.72,1103,6.5,22.2,1159,113,Сорокина University of п. Калач-на-Дону — один из ведущих университетов в Singapore. Университет известен своими достижениями в области medicine.,Сильный студенческий обмен,Высокая стоимость жизни,0
Наумов University of г. Зеленоград,China,г. Зеленоград,Китайский,23064,Engineering,2.43,1425,8.7,24.4,1445,158,Наумов University of г. Зеленоград — один из ведущих университетов в China. Университет известен своими достижениями в области engineering.,Сильные инженерные программы,Сложности с визами,0
Андреев University of с. Соль-Илецк,Germany,с. Соль-Илецк,Немецкий,20858,Psychology,2.13,1328,6.3,17.9,1402,445,Андреев University of с. Соль-Илецк — один из ведущих университетов в Germany. Университет известен своими достижениями в области psychology.,Сильный студенческий обмен,Дорогая аренда жилья,0
Силин University of ст. Кош-Агач,South Korea,ст. Кош-Агач,Корейский,12829,Political Science,2.4,1228,5.0,29.4,261,245,Силин University of ст. Кош-Агач — один из ведущих университетов в South Korea. Университет известен своими достижениями в области political science.,Сильная программа по ИИ,Маленькое общежитие,0
Гурьева University of г. Муром,South Korea,г. Муром,Корейский,5236,Business,3.77,1143,6.8,27.0,519,134,Гурьева University of г. Муром — один из ведущих университетов в South Korea. Университет известен своими достижениями в области business.,Развитая инфраструктура,Маленькое общежитие,0
Ефимов University of г. Северодвинск,Russia,г. Северодвинск,Русский,52822,Art,2.65,1246,8.4,18.9,227,233,Ефимов University of г. Северодвинск — один из ведущих университетов в Russia. Университет известен своими достижениями в области art.,Отличное финансирование исследований,Маленькое общежитие,0
Белозерова University of г. Курган,Canada,г. Курган,Английский,9856,Architecture,3.14,1099,5.7,10.6,1449,398,Белозерова University of г. Курган — один из ведущих университетов в Canada. Университет известен своими достижениями в области architecture.,Сильный студенческий обмен,Сложности с визами,0
Рогов University of к. Моршанск,Singapore,к. Моршанск,Английский,25543,Psychology,3.41,1024,8.9,25.3,12,490,Рогов University of к. Моршанск — один из ведущих университетов в Singapore. Университет известен своими достижениями в области psychology.,Сильный студенческий обмен,Высокая стоимость жизни,0
Кулакова University of к. Шатой,France,к. Шатой,Французский,44413,Psychology,4.98,837,7.1,12.0,687,108,Кулакова University of к. Шатой — один из ведущих университетов в France. Университет известен своими достижениями в области psychology.,Сильный студенческий обмен,Высокая стоимость жизни,0
Петухова University of ст. Инта,China,ст. Инта,Китайский,31784,Mathematics,4.36,840,8.5,3.4,361,474,Петухова University of ст. Инта — один из ведущих университетов в China. Университет известен своими достижениями в области mathematics.,Сильная программа по ИИ,Высокая стоимость жизни,0
Емельянова University of клх Нижний Тагил,South Korea,клх Нижний Тагил,Корейский,16779,Psychology,2.22,1554,7.0,9.3,20,486,Емельянова University of клх Нижний Тагил — один из ведущих университетов в South Korea. Университет известен своими достижениями в области psychology.,Развитая инфраструктура,Сложности с визами,0
Рябова University of клх Добрянка,Germany,клх Добрянка,Немецкий,53740,Biology,4.86,1430,8.0,22.4,1439,64,Рябова University of клх Добрянка — один из ведущих университетов в Germany. Университет известен своими достижениями в области biology.,Сильный студенческий обмен,Высокая стоимость жизни,1
Фролов University of д. Дивногорск,Netherlands,д. Дивногорск,Английский,51618,Psychology,4.38,996,4.5,22.1,1378,108,Фролов University of д. Дивногорск — один из ведущих университетов в Netherlands. Университет известен своими достижениями в области psychology.,Отличное финансирование исследований,Нехватка стажировок,0
Куликова University of клх Усть-Кулом,Russia,клх Усть-Кулом,Русский,26013,Medicine,3.61,1192,5.8,29.5,274,141,Куликова University of клх Усть-Кулом — один из ведущих университетов в Russia. Университет известен своими достижениями в области medicine.,Сильный студенческий обмен,Маленькое общежитие,0
Васильев University of клх Липецк,United Kingdom,клх Липецк,Английский,19662,Medicine,3.16,957,7.1,22.9,1369,308,Васильев University of клх Липецк — один из ведущих университетов в United Kingdom. Университет известен своими достижениями в области medicine.,Сильная программа по ИИ,Высокая стоимость жизни,0
Самсонов University of п. Новочеркасск,Netherlands,п. Новочеркасск,Английский,41555,Chemistry,3.07,1236,7.7,-4.6,1092,48,Самсонов University of п. Новочеркасск — один из ведущих университетов в Netherlands. Университет известен своими достижениями в области chemistry.,Сильный студенческий обмен,Высокая стоимость жизни,0
Никитина University of к. Гатчина,United Kingdom,к. Гатчина,Английский,25884,Psychology,3.6,1479,8.5,10.1,1312,208,Никитина University of к. Гатчина — один из ведущих университетов в United Kingdom. Университет известен своими достижениями в области psychology.,Развитая инфраструктура,Дорогая аренда жилья,1
Буров University of к. Новосибирск,Netherlands,к. Новосибирск,Английский,39987,Environmental Science,2.36,1474,8.5,-2.1,51,4,Буров University of к. Новосибирск — один из ведущих университетов в Netherlands. Университет известен своими достижениями в области environmental science.,Развитая инфраструктура,Маленькое общежитие,0
Кондратьев University of д. Кажим,China,д. Кажим,Китайский,29624,Business,4.97,817,6.0,19.7,942,136,Кондратьев University of д. Кажим — один из ведущих университетов в China. Университет известен своими достижениями в области business.,Сильная программа по ИИ,Высокая стоимость жизни,0
